,Date,Tweet
0,2022-07-31 22:38:29+00:00,@dcherring 👍
1,2022-07-31 22:37:39+00:00,@dogeofficialceo https://t.co/QMyM1H0Z5y
2,2022-07-31 22:32:36+00:00,"If our reality is actually an alien soap opera, our ratings would be 🚀💥💫"
3,2022-07-31 21:39:40+00:00,@WholeMarsBlog 🤣
4,2022-07-31 14:22:14+00:00,Maybe free some people in jail for weed here too? https://t.co/AYo0ZC79lZ
5,2022-07-31 14:11:35+00:00,@ajtourville @SpaceX Good thread
6,2022-07-31 02:57:49+00:00,@Garin 🎯
7,2022-07-31 02:28:06+00:00,@cb_doge @lexfridman @ExplainThisBob Sigh
8,2022-07-31 02:27:16+00:00,Off to the Races set to Harley Quinn https://t.co/79XaBOxAKk
9,2022-07-31 02:25:08+00:00,@lexfridman 🤣👍
10,2022-07-30 14:27:22+00:00,@StockMKTNewz We live in interesting times
11,2022-07-30 14:20:06+00:00,"Some people are no nonsense, but, personally, I like a little nonsense"
12,2022-07-30 14:03:19+00:00,@sadcrib 🤣
13,2022-07-30 14:01:33+00:00,Tesla + Twitter -&gt; Twizzler
14,2022-07-30 13:51:37+00:00,Interaction with almost all twitter accounts seem to be much lower in recent weeks &amp; days. Accurate?
15,2022-07-30 07:10:13+00:00,Saxon https://t.co/UTh4uqIEYP
16,2022-07-30 03:14:03+00:00,@spideycyp_155 Based
17,2022-07-30 02:13:42+00:00,Friend made this for me 2 years ago https://t.co/XzlmpmPNT7
18,2022-07-30 01:46:25+00:00,Try voice command “open butthole” on your Tesla
19,2022-07-30 01:43:41+00:00,https://t.co/Uo30yDO3tJ
20,2022-07-30 01:40:58+00:00,@cb_doge 🤣
21,2022-07-30 00:23:46+00:00,@HistoryInPics Great style
22,2022-07-30 00:19:27+00:00,@TeslaPodcast @SenateDems @Sen_JoeManchin @SenatorSinema @SenateGOP Good point. Time to move on from hybrid cars. That was a phase.
23,2022-07-30 00:09:07+00:00,Heatwave in Shortville 🥵
24,2022-07-29 23:04:22+00:00,"@ICannot_Enough @DirtyTesLa 10.13 is probably a week or so away, but yes. People outside of California will notice improvements the most."
25,2022-07-29 15:12:58+00:00,"@DirtyTesLa We’re working super hard on 10.13, but it isn’t ready yet"
26,2022-07-29 14:54:06+00:00,@micsolana Wikipedia is losing its objectivity @jimmy_wales
27,2022-07-29 14:46:31+00:00,"I can’t say for sure that Starship will reach escape velocity, but my hubris certainly has"
28,2022-07-29 00:37:02+00:00,@chicago_glenn We should thank farmers more
29,2022-07-29 00:34:55+00:00,@WholeMarsBlog Products that bring joy are rare
30,2022-07-29 00:33:30+00:00,@teslaownersSV Too early to say for sure
31,2022-07-29 00:32:46+00:00,@snjejxjbbdbebjx Would be unwise to risk that it is not
32,2022-07-29 00:31:32+00:00,More Tesla commodity prices are trending down than up fwiw
33,2022-07-29 00:29:37+00:00,Inflation might be trending down
34,2022-07-29 00:22:53+00:00,@FutureJurvetson @Tesla @gjurvetson Thanks for your support over the years
35,2022-07-28 03:50:24+00:00,Much harder to make friends than enemies. My skill at the latter is improving.
36,2022-07-27 16:11:18+00:00,@NASASpaceflight Sub lightspeed is all that’s needed to be interstellar. Intergalactic is tough.
